bin,exam_exercise,animal,consult_idx,line,categories,n_categories
69e76df6aaba8821972106e8,EX1,Isopp,0,Séparer la rations en plusieurs repas (2 par jours),distribution_repas,1
69e76df6aaba8821972106e8,EX1,Isopp,0,Donner la nourriture dans une gamelle anti-glouton pour aider à la saciété,distribution_repas,1
69e76df6aaba8821972106e8,EX1,Isopp,0,Faire un suivi de poids régulier toutes les 1 semaines ou 2 semaines (Isopp doit perdre du poids mais pas trop d'un coup et ne doit pas en reprendre),suivi_poids_et_clinique,1
69e76e11aaba88219721077c,EX1,Isopp,0,transition alimentaire de 6 jours,transition_alimentaire,1
69e76e11aaba88219721077c,EX1,Isopp,0,suivi de poids toutes les deux semaines,suivi_poids_et_clinique,1
69e76e11aaba88219721077c,EX1,Isopp,0,augmenter un peu les activités physiques,activite_physique,1
69e76e11aaba88219721077c,EX1,Isopp,0,utiliser gamelle anti-glouton,distribution_repas,1
69e76e11aaba88219721077c,EX2,Mochi,0,suivi de poids toutes les deux semaines,suivi_poids_et_clinique,1
69e76e11aaba88219721077c,EX2,Mochi,0,séparer la ration en plusieurs repas,distribution_repas,1
69e76e11aaba88219721077c,EX2,Mochi,0,cuire le riz à l'eau et deux fois plus que pour les humains,cuisson,1
69e76e11aaba88219721077c,EX2,Mochi,0,Cuisson vapeur pour le poulet et cuisson à l'eau pour les épinards,cuisson,1
69e76e17856a68218958d7eb,EX1,isopp ,0,"Je propose de changer de croquette pour isopp en passant sur une gamme satiety, la densité est diminué avec plus de protéine pour qu’il soit plus rassasié",satiete_appetit,1
69e76e17856a68218958d7eb,EX1,isopp ,0,"on fait une transition sur 6jours en diminuant l’ancienne et augmentant la nouvelle ration, il faut aussi donner à manger en 3 fois de préférence (surtout pas en une car chien sujet au retournement d’estomac)",transition_alimentaire;distribution_repas;justification_clinique,3
69e76e17856a68218958d7eb,EX1,isopp ,0,de plus un suivi de poids doit être réalisé,suivi_poids_et_clinique,1
69e76e17856a68218958d7eb,EX1,isopp ,0,enfin introduire une activité sportive est important tant pour la santé de cet animal mais aussi pour son bien être,activite_physique,1
69e76e17856a68218958d7eb,EX2,mochi ,0,"les aliments doivent être cuit à la vapeur, le riz deux fois plus que pour les humains, une transition sur 6 jour doit être faite ainsi qu’un suivi de poids pour vérifier que la nouvelle ration lui convient",transition_alimentaire;cuisson;suivi_poids_et_clinique,3
69e76e17856a68218958d7eb,EX2,mochi ,0,il peut être intéressant de compliqué un peu l’accès à la nourriture pour que le chat soit un peu plus actif même s’il n’y a aucun problème avec son poids,activite_physique,1
69e76e2636566621a8d788b5,EX1,Isopp,0,il faut diminuer l’apport énergétique pour qu’il maigrisse tout en gardant un apport en croquette suffisant pour la satiété. l’objectif pour lui est 25kg,satiete_appetit,1
69e76e2636566621a8d788b5,EX1,Isopp,0,ainsi il faudrai diviser les repas en 2 repas ou 3,distribution_repas,1
69e76e2636566621a8d788b5,EX1,Isopp,0,effectuer une transition alimentaire sur 6 jours,transition_alimentaire,1
69e76e2636566621a8d788b5,EX1,Isopp,0,essayer d’effectuer plus d’activité afin de le faire maigrir,activite_physique;objectif_poids,2
69e76e2636566621a8d788b5,EX1,Isopp,0,efffectuer un suivi de l’animal pour voir l’évolution du poids et si la proportion de croquettes fonction,suivi_poids_et_clinique,1
69e76e2636566621a8d788b5,EX1,Isopp,0,essayer de rendre le repas quelque chose de social donc avec d’autre individu ou avec le propriétaire,aspects_sociaux,1
69e76e2636566621a8d788b5,EX2,Mochi,0,La recette est à suivre avec les indication suivantes:,preparation_recette,1
69e76e2636566621a8d788b5,EX2,Mochi,0,Cuire à l’eau le riz et le poulet ( pour le riz cuire 2 fois plus longtemps que pour nous),cuisson,1
69e76e2636566621a8d788b5,EX2,Mochi,0,Faire une transition alimentaire sur 6 jours,transition_alimentaire,1
69e76e2636566621a8d788b5,EX2,Mochi,0,Séparer les repas en plusieurs repas par jour (2 voir 3),distribution_repas,1
69e76e2636566621a8d788b5,EX2,Mochi,0,Utiliser des objets permettant de cacher la nourriture pour le chat cherche,enrichissement_environnement,1
69e76e35aaba882197210806,EX1,Isopp,0,Transition alimentaire nécessaire (6jours),transition_alimentaire,1
69e76e35aaba882197210806,EX1,Isopp,0,Donner la ration en 3 fois dans la journée,distribution_repas,1
69e76e35aaba882197210806,EX1,Isopp,0,"(Si possible, augmenter l'activité de l'animal)",activite_physique,1
69e76e35aaba882197210806,EX2,Mochi,0,Transition alimentaire à faire (2 semaines),transition_alimentaire,1
69e76e35aaba882197210806,EX2,Mochi,0,Conseil de cuisson : cuisson à l'eau du colin et du riz (temps deux fois plus long que pour l'humain pour le riz),cuisson,1
69e76e35aaba882197210806,EX2,Mochi,0,Lui donner la ration tout au long de la journée et non en une seule fois,distribution_repas,1
69e76e3f856a68218958d884,EX1,Isopp,0,Transition alimentaire en 6 jours,transition_alimentaire,1
69e76e3f856a68218958d884,EX1,Isopp,0,Suivi du poids,suivi_poids_et_clinique,1
69e76e3f856a68218958d884,EX1,Isopp,0,Séparation de la ration en 2 repas par jour,distribution_repas,1
69e76e3f856a68218958d884,EX1,Isopp,0,Utilisation d'une gamelle anti-glouton,distribution_repas,1
69e76e3f856a68218958d884,EX1,Isopp,0,Reprise de l'exercice physique,activite_physique,1
69e76e3f856a68218958d884,EX2,Mochi,0,Transition alimentaire en 6 jours,transition_alimentaire,1
69e76e3f856a68218958d884,EX2,Mochi,0,Suivi du poids,suivi_poids_et_clinique,1
69e76e3f856a68218958d884,EX2,Mochi,0,"Cuisson à la vapeur du poisson, du riz et des haricots",cuisson,1
69e76e3f856a68218958d884,EX2,Mochi,0,Ajout de l'huile et du Vit'i5 après cuisson,cuisson;ordre_ingredients;complementation_cmv,3
69e76e3f856a68218958d884,EX2,Mochi,0,Répartir la ration en plusieurs repas à donner au long de la journée,distribution_repas,1
69e76e3f856a68218958d884,EX2,Mochi,0,Utiliser des gamelles ludiques si besoin,,0
69e76e3faaba882197210823,EX1,Isopp,0,"Réaliser une transition alimentaire avec la ration actuelle, diviser la ration en plusieurs repas sur la journée, faire un suivi du poids toutes les deux semaines pour permettre d'ajuster la ration, utiliser des gamelles anti-gloutons ou d'autres récipients ludiques pour environ 30% de la ration",transition_alimentaire;distribution_repas;suivi_poids_et_clinique;justification_clinique,4
69e76e3faaba882197210823,EX2,Mochi,0,"Conseils : Cuire le poulet à l'eau ou à la vapeur et le riz à l'eau (deux fois plus de temps que pour un humain); diviser le repas en plusieurs prises, effectuer une transition alimentaire, faire un suivi du poids toutes les deux semaines",transition_alimentaire;cuisson;distribution_repas;suivi_poids_et_clinique,4
69e76e48aaba882197210848,EX1,Isopp,0,Transition alimentaire pour le changement de ration sur 6j,transition_alimentaire,1
69e76e48aaba882197210848,EX1,Isopp,0,Diviser les repas,distribution_repas,1
69e76e48aaba882197210848,EX1,Isopp,0,Faire un suivi de l’animal et de son poids (toutes les deux semaines),suivi_poids_et_clinique,1
69e76e48aaba882197210848,EX2,Mochi,0,Cuire tous les aliments à l’eau (Riz deux fois plus longtemps que pour l’homme),cuisson,1
69e76e48aaba882197210848,EX2,Mochi,0,Transition alimentaire sur 6j,transition_alimentaire,1
69e76e48aaba882197210848,EX2,Mochi,0,Diviser les repas,distribution_repas,1
69e76e5faaba8821972108ad,EX1,Isopp,0,Faire une transition alimentaire pendant 6j,transition_alimentaire,1
69e76e5faaba8821972108ad,EX1,Isopp,0,Diviser la portion en plusieurs repas à distribuer dans la journée,distribution_repas,1
69e76e5faaba8821972108ad,EX1,Isopp,0,Suivre l'évolution du poids,suivi_poids_et_clinique,1
69e76e5faaba8821972108ad,EX2,Mochi,0,Conseils de cuisson: cuire le riz à l'eau deux fois plus longtemps que pour une cuisson déstinée à l'humain. Cuire le poulet et les haricots dans de l'eau,cuisson,1
69e76e5faaba8821972108ad,EX2,Mochi,0,Diviser la ration en plusieurs portions à distribuer dans la journée,distribution_repas,1
69e76e5faaba8821972108ad,EX2,Mochi,0,Faire une transition alimentaire en 6 jours,transition_alimentaire,1
69e76e5faaba8821972108ad,EX2,Mochi,0,Suivre l'évolution du poids,suivi_poids_et_clinique,1
69e76e63856a68218958d918,EX1,Isopp,0,Réaliser une transition alimentaire sur 3 semaines,transition_alimentaire,1
69e76e63856a68218958d918,EX1,Isopp,0,Augmenter l'activité physique du chien : 2 à 3h de balade par jour,activite_physique,1
69e76e63856a68218958d918,EX1,Isopp,0,Séparer les repas en plusieurs petits repas,distribution_repas,1
69e76e63856a68218958d918,EX2,Mochi ,0,Cuire le riz à l'eau,cuisson,1
69e76e63856a68218958d918,EX2,Mochi ,0,Cuire les courgettes et le poulet à la vapeur,cuisson,1
69e76e63856a68218958d918,EX2,Mochi ,0,Ajouter l'huile et le Vit'i5 après la cuisson,cuisson;ordre_ingredients;complementation_cmv,3
69e76e63856a68218958d918,EX2,Mochi ,0,"Enrichir l'environnement avec des jeux, mettre la nourriture dans des jeux",activite_physique,1
69e76e6436566621a8d78989,EX1,Isopp,0,Suivi du poids toutes les 2 semaines,suivi_poids_et_clinique,1
69e76e6436566621a8d78989,EX1,Isopp,0,Transition alimentaire en 6 jours,transition_alimentaire,1
69e76e6436566621a8d78989,EX2,Mochi,0,Transition alimentaire,transition_alimentaire,1
69e76e6436566621a8d78989,EX2,Mochi,0,suivi du poids toutes les 2 semaines,suivi_poids_et_clinique,1
69e76ea1856a68218958da19,EX1,Isopp,0,"Pour passer à cette nouvelle ration, il faut :",transition_alimentaire,1
69e76ea1856a68218958da19,EX1,Isopp,0,réaliser une transition alimentaire sur 6 jours,transition_alimentaire,1
69e76ea1856a68218958da19,EX1,Isopp,0,distribuer le repas en 2 à 3 fois par jour,distribution_repas,1
69e76ea1856a68218958da19,EX1,Isopp,0,cacher les croquettes dans une gamelle anti-glouton,distribution_repas;enrichissement_environnement,2
69e76ea1856a68218958da19,EX1,Isopp,0,réaliser un suivi du poids toutes les 2 semaines,suivi_poids_et_clinique,1
69e76ea1856a68218958da19,EX2,Mochi,0,"Pour passer à cette nouvelle ration, il faut :",transition_alimentaire,1
69e76ea1856a68218958da19,EX2,Mochi,0,réaliser une transition alimentaire sur 6 jours,transition_alimentaire,1
69e76ea1856a68218958da19,EX2,Mochi,0,"bien cuire la viande et le riz (cuisson vappeur de préférence, cuire le riz deux fois plus longtemps que la viande) ainsi que les haricots, ajouter l'huile et le vit'i5 après cuisson",cuisson;ordre_ingredients;complementation_cmv,3
69e76ea1856a68218958da19,EX2,Mochi,0,distribuer le repas entre 25 et 30 °C,distribution_repas,1
69e76ea1856a68218958da19,EX2,Mochi,0,répartir le repas en plusieurs fois sur la journée,distribution_repas,1
69e76ea1856a68218958da19,EX2,Mochi,0,faire un suivi du poids toutes les 2 semaines,suivi_poids_et_clinique,1
69e76ee436566621a8d78bd6,EX1,Isopp,0,transition alimentaire progressive (6 jours),transition_alimentaire,1
69e76ee436566621a8d78bd6,EX1,Isopp,0,fractionner les repas au cours de la journée,distribution_repas,1
69e76ee436566621a8d78bd6,EX1,Isopp,0,"favoriser la prise alimentaire ludique (gamelle anti glouton, jeux ...)",distribution_repas;activite_physique,2
69e76ee436566621a8d78bd6,EX1,Isopp,0,"ajouter des fibres (courgettes, haricots verts pour remplir l'estomac sans augmenter l'énergie apportée)",preparation_recette,1
69e76ee436566621a8d78bd6,EX1,Isopp,0,"suivi régulier du poids de l'animal : lors du plan perte de poids, l'animal doit perdre 5-10 % de son poids initial par semaine au maximum et si il ne perd pas, il faut réduire de nouveau l'apport",suivi_poids_et_clinique;objectif_poids,2
69e76ee436566621a8d78bd6,EX2,Mochi,0,transition alimentaire progressive (6 jours),transition_alimentaire,1
69e76ee436566621a8d78bd6,EX2,Mochi,0,fractionner les repas,distribution_repas,1
69e76ee436566621a8d78bd6,EX2,Mochi,0,bien cuire le riz à l'eau et le double du temps indiqué sur le paquet,cuisson,1
69e76ee436566621a8d78bd6,EX2,Mochi,0,cuire le poisson et les courgettes à l'eau,cuisson,1
69e76ee436566621a8d78bd6,EX2,Mochi,0,ajouter l'huile et le complément minéralo-vitaminé après la cuisson,cuisson;complementation_cmv,2
69e76ee436566621a8d78bd6,EX2,Mochi,0,réaliser un suivi du poids après la mise en place de la nouvelle ration,transition_alimentaire;suivi_poids_et_clinique,2
69e76ef836566621a8d78c46,EX1,Isopp,0,Conseils :,,0
69e76ef836566621a8d78c46,EX1,Isopp,0,effectuer une transition alimentaire (1 semaine),transition_alimentaire,1
69e76ef836566621a8d78c46,EX1,Isopp,0,faire un suivi du poids de l’animal toutes les 2 semaines,suivi_poids_et_clinique,1
69e76ef836566621a8d78c46,EX1,Isopp,0,utiliser une gamelle anti-glouton pour allonger le temps de prise de repas,distribution_repas,1
69e76ef836566621a8d78c46,EX2,Mochi,0,Conseils :,,0
69e76ef836566621a8d78c46,EX2,Mochi,0,effectuer une transition alimentaire (1 semaine),transition_alimentaire,1
69e76ef836566621a8d78c46,EX2,Mochi,0,cuire le poulet à la vapeur à cœur,cuisson,1
69e76ef836566621a8d78c46,EX2,Mochi,0,cuire le riz à l’eau 2 fois plus longtemps ou en mode sushi dans un cuiseur à riz,cuisson,1
69e76ef836566621a8d78c46,EX2,Mochi,0,servir la ration tiède,distribution_repas,1
69e76ef836566621a8d78c46,EX2,Mochi,0,ne rajouter le Vit’i5 qu’après avoir chauffer les aliments,,0
69e76ef836566621a8d78c46,EX2,Mochi,0,diviser la ration dans la journée,distribution_repas,1
69e76ef836566621a8d78c48,EX1,ISOPP,0,Suivi clinique toutes les deux semaines,suivi_poids_et_clinique,1
69e76ef836566621a8d78c48,EX1,ISOPP,0,Diviser la ration en au moins deux repas,distribution_repas,1
69e76ef836566621a8d78c48,EX1,ISOPP,0,Transition alimentaire pendant 6 jours,transition_alimentaire,1
69e76ef836566621a8d78c48,EX2,Mochi,0,Suivi clinique toutes les deux semaines,suivi_poids_et_clinique,1
69e76ef836566621a8d78c48,EX2,Mochi,0,Transition alimentaire,transition_alimentaire,1
69e76ef836566621a8d78c48,EX2,Mochi,0,Diviser les repas,distribution_repas,1
69e76ef836566621a8d78c48,EX2,Mochi,0,Proposer des jeux pour l'alimentation,activite_physique,1
69e76efa36566621a8d78c55,EX1,Isopp,0,Transition alimentaire sur 6 jours,transition_alimentaire,1
69e76efa36566621a8d78c55,EX1,Isopp,0,Diviser les repas en 2/3 fois par jours,distribution_repas,1
69e76efa36566621a8d78c55,EX1,Isopp,0,suivit du poids toutes les 1/2 semaines,,0
69e76efa36566621a8d78c55,EX2,Mochi,0,cuisson à l'eau pour le riz et le colin ( riz: cuire deux fois plus longtemps que pour humain),cuisson,1
69e76efa36566621a8d78c55,EX2,Mochi,0,séparer la ration en plusieurs repas par jours,distribution_repas,1
69e76efa36566621a8d78c55,EX2,Mochi,0,transtion alimentaire possible,,0
69e76efa36566621a8d78c55,EX2,Mochi,0,vérifier que le poids de l'aniaml ne varie pas,suivi_poids_et_clinique,1
69e76efc36566621a8d78c85,EX1,Isopp,0,Eau à volonté,hydratation_eau,1
69e76efc36566621a8d78c85,EX1,Isopp,0,Transition alimentaire sur 7j,transition_alimentaire,1
69e76efc36566621a8d78c85,EX1,Isopp,0,Suivi du poids très régulié et rendez-vous à la clinique dans 15j puis dans 1 mois,suivi_poids_et_clinique,1
69e76efc36566621a8d78c85,EX1,Isopp,0,Distribuer la ration en deux voire trois fois suivant les possibilités,distribution_repas,1
69e76efc36566621a8d78c85,EX2,Mochi,0,Eau à volonté,hydratation_eau,1
69e76efc36566621a8d78c85,EX2,Mochi,0,Bien cuire le riz (doubler le temps de cuisson pour humain),cuisson,1
69e76efc36566621a8d78c85,EX2,Mochi,0,Cuire le poulet à la vapeur,cuisson,1
69e76efc36566621a8d78c85,EX2,Mochi,0,Suivre du poids très régulièrement et visite de contrôle dbs 1 mois,,0
69e76efc36566621a8d78c85,EX2,Mochi,0,transition alimentaire sur 6j,transition_alimentaire,1
69e76efc36566621a8d78c85,EX2,Mochi,0,ajouter l'huile de colza et le vit'i 5 orange directement dans la gamelle sans cuisson,cuisson;complementation_cmv,2
69e76efc36566621a8d78c85,EX2,Mochi,0,distribuer la ration en deux fois,distribution_repas,1
69e76efd36566621a8d78c97,EX1,Isopp,0,Faire une transition alimentaire sur 6 jours,transition_alimentaire,1
69e76efd36566621a8d78c97,EX1,Isopp,0,Diviser la nouvelle ration en plusieurs repas à donner au fil de la journée + mettre des gamelles ludiques,transition_alimentaire;distribution_repas,2
69e76efd36566621a8d78c97,EX1,Isopp,0,Faire un suivi du poids toutes les semaines,suivi_poids_et_clinique,1
69e76efd36566621a8d78c97,EX2,Mochi,0,Faire une transition alimentaire sur 6jours avec sa ration actuelle,transition_alimentaire,1
69e76efd36566621a8d78c97,EX2,Mochi,0,Faire bien cuire et à l'eau le colin et le riz blanc (faire cuire 2 fois plus longtemps le riz que pour les humains),cuisson,1
69e76efd36566621a8d78c97,EX2,Mochi,0,Donner le repas en plusieurs fois dans la journée,distribution_repas,1
69e76efd36566621a8d78c97,EX2,Mochi,0,Faire un suivi du poids pour vérifier que la ration lui convient (si besoin on ajustera le K),suivi_poids_et_clinique,1
69e76f00856a68218958dc27,EX1,Isopp,0,Ajouter une gamelle anti-glouton,distribution_repas,1
69e76f00856a68218958dc27,EX1,Isopp,0,Faire visite de contrôle du poids chez le vétérinaire dans le mois après le début du changement d'alimentation,,0
69e76f00856a68218958dc27,EX1,Isopp,0,"Réaliser une transition alimentaire sur 5 jours, en remplaçant chaque jour 20% supplémentaires de l'ancienne ration par la nouvelle",transition_alimentaire,1
69e76f00856a68218958dc27,EX2,Mochi,0,Peser les aliments crus,cuisson;suivi_poids_et_clinique,2
69e76f00856a68218958dc27,EX2,Mochi,0,Opter pour un mode de cuisson vapeur. Idéalement àl'aide d'un cuiseur à riz,cuisson,1
69e76f00856a68218958dc27,EX2,Mochi,0,Faire une visite de contrôle dans 4 semaines pour vérifier le poids de Mochi et discuter de sa nouvelle ration,transition_alimentaire,1
69e76f0caaba882197210c3f,EX1,Isopp,1,Il faut changer l'alimentation progressivement sur une semaine,transition_alimentaire,1
69e76f0caaba882197210c3f,EX1,Isopp,1,Ne pas hésiter à humidifier les croquettes pour couper la satiété si besoin,preparation_recette;satiete_appetit,2
69e76f0caaba882197210c3f,EX2,Mochi,0,"Bien faire cuire les aliments à la vapeur (surtout le riz, plus qu'on ne le ferait pour un humain)",cuisson,1
69e76f1a36566621a8d78d8f,EX1,Isopp,0,Transition alimentaire 75% ancienne ration/ 25 % nouvelle ration pendant 3 jours,transition_alimentaire,1
69e76f1a36566621a8d78d8f,EX1,Isopp,0,50% ancienne ration / 50% nouvelle ration pendant 3 jours,transition_alimentaire,1
69e76f1a36566621a8d78d8f,EX1,Isopp,0,25 % ancienne ration / 75 % nouvelle ration pendant 3 jours,transition_alimentaire,1
69e76f1a36566621a8d78d8f,EX1,Isopp,0,puis 100 % nouvelle ration,transition_alimentaire,1
69e76f1a36566621a8d78d8f,EX1,Isopp,0,"Suivi régulier du poids, environ toutes les 2 semaines",suivi_poids_et_clinique,1
69e76f1a36566621a8d78d8f,EX1,Isopp,0,Si besoin diviser la ration en 3 repas dans la journée,distribution_repas,1
69e76f1a36566621a8d78d8f,EX2,Mochi,0,Conseil cuisson : le poisson et le riz doivent être cuits à l'eau,cuisson,1
69e76f1a36566621a8d78d8f,EX2,Mochi,0,Le riz doit être cuit 2x plus de temps qu'en humaine car cela favorise la digestibilité de l'amidon,cuisson;justification_clinique,2
69e76f1a36566621a8d78d8f,EX2,Mochi,0,L' huile et le vit'i5 doivent être ajoutés à la fin de la préparation pour ne pas les endommager,complementation_cmv,1
69e76f1a36566621a8d78d8f,EX2,Mochi,0,Découper la ration en 2 voir 3 repas,morceaux_decoupe,1
69e76f2b36566621a8d78dde,EX1,Isopp,0,"Ration actuelle trop pauvre en protéines, expliquant la faim constante d'Isopp, et trop grosse couverture énergétique",,0
69e76f2b36566621a8d78dde,EX1,Isopp,0,"Nouvelle ration proposée de la gamme Royal Canin, plus riche en protéines et couverture énergétique plus adaptée",transition_alimentaire,1
69e76f2b36566621a8d78dde,EX1,Isopp,0,"Diviser la ration en plusieurs repas par jour, idéalement 2 ou 3 repas",distribution_repas,1
69e76f2b36566621a8d78dde,EX1,Isopp,0,Proposer la ration avec des enrichissements comme des tapis de fouille ou gamelle anti-glouton par exemple,distribution_repas;enrichissement_environnement,2
69e76f2b36566621a8d78dde,EX1,Isopp,0,Faire une transition alimentaire sur 6 jours,transition_alimentaire,1
69e76f2b36566621a8d78dde,EX1,Isopp,0,Faire un suivi du poids afin de voir si la nouvelle ration convient à Isopp,transition_alimentaire;suivi_poids_et_clinique,2
69e76f2b36566621a8d78dde,EX2,Mochi,0,"Ration ménagère proposée contenant une source de protéines, une source de fibres, une source d'énergie, une source d'acides gras essentiels et un complément minéralo-vitaminé",complementation_cmv,1
