bin,exam_exercise,animal,consult_idx,n_lines,categories_detected,activite_physique,aspects_sociaux,complementation_cmv,cuisson,distribution_repas,enrichissement_environnement,hydratation_eau,interdits_aliments,justification_clinique,morceaux_decoupe,objectif_poids,ordre_ingredients,preparation_recette,satiete_appetit,suivi_poids_et_clinique,transition_alimentaire,text
69e76dd0aaba88219721059a,EX2,Mochi,0,4,cuisson;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,Faire cuire le colin et le riz dans l'eau (cuisson 2 fois plus longue que pour l'homme pour le riz). Diviser les repas dans la journée. Faire la transition alimentaire sur 6 jours. Faire un suivi du poids régulier.
69e76dda856a68218958d68c,EX1,Isopp,0,3,distribution_repas;hydratation_eau,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Eau disponible a volonté pour maintenir une hydratation optimale
Distribuer en plusieurs repas ( si possible 3)
distribuer dans des tapis de fouilles ou enrichissment."
69e76dda856a68218958d68c,EX2,Mochi,0,1,distribution_repas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Distribuer en plussieurs fois
69e76dee36566621a8d78797,EX1,Isopp,0,3,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Faire une transition alimentaire
Distribuer l'alimentation en plusieurs fois
Suivre le poids de l'animal"
69e76dee36566621a8d78797,EX2,Mochi ,0,4,cuisson;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,"Cuire le colin et le riz à l'eau. Le riz doit être cuit deux fois plus longtemps que pour l'Homme
Faire une transition alimentaire
Distribuer la ration en plusieurs fois
Suivre le poids de Mochi (toute les 2 semaines environ)"
69e76df6aaba8821972106e8,EX1,Isopp,0,7,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Faire une transition alimentaire sur 6 jours : 
- 1/4 des nouvelles croquettes et 3/4 des anciennes pendant 2 jours
- 2/4 des nouvelles et 2/4 des anciennes pendant 2 jours 
- 3/4 des nouvelles et 1/4 des anciennes pendant 2 jours 
Séparer la rations en plusieurs repas (2 par jours)
Donner la nourriture dans une gamelle anti-glouton pour aider à la saciété 
Faire un suivi de poids régulier toutes les 1 semaines ou 2 semaines (Isopp doit perdre du poids mais pas trop d'un coup et ne doit pas en reprendre)"
69e76e11aaba88219721077c,EX1,Isopp,0,4,activite_physique;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"transition alimentaire de 6 jours 
suivi de poids toutes les deux semaines
augmenter un peu les activités physiques
utiliser gamelle anti-glouton"
69e76e11aaba88219721077c,EX2,Mochi,0,4,cuisson;distribution_repas;suivi_poids_et_clinique,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,"suivi de poids toutes les deux semaines
séparer la ration en plusieurs repas 
cuire le riz à l'eau et deux fois plus que pour les humains
Cuisson vapeur pour le poulet et cuisson à l'eau pour les épinards"
69e76e17856a68218958d7eb,EX1,isopp ,0,4,activite_physique;distribution_repas;justification_clinique;satiete_appetit;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,"Je propose de changer de croquette pour isopp en passant sur une gamme satiety, la densité est diminué avec plus de protéine pour qu’il soit plus rassasié. on fait une transition sur 6jours en diminuant l’ancienne et augmentant la nouvelle ration, il faut aussi donner à manger en 3 fois de préférence (surtout pas en une car chien sujet au retournement d’estomac). de plus un suivi de poids doit être réalisé. enfin introduire une activité sportive est important tant pour la santé de cet animal mais aussi pour son bien être"
69e76e17856a68218958d7eb,EX2,mochi ,0,2,activite_physique;cuisson;suivi_poids_et_clinique;transition_alimentaire,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"les aliments doivent être cuit à la vapeur, le riz deux fois plus que pour les humains, une transition sur 6 jour doit être faite ainsi qu’un suivi de poids pour vérifier que la nouvelle ration lui convient. il peut être intéressant de compliqué un peu l’accès à la nourriture pour que le chat soit un peu plus actif même s’il n’y a aucun problème avec son poids"
69e76e2636566621a8d788b5,EX1,Isopp,0,6,activite_physique;aspects_sociaux;distribution_repas;objectif_poids;satiete_appetit;suivi_poids_et_clinique;transition_alimentaire,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,"il faut diminuer l’apport énergétique pour qu’il maigrisse tout en gardant un apport en croquette suffisant pour la satiété. l’objectif pour lui est 25kg 

ainsi il faudrai diviser les repas en 2 repas ou 3
effectuer une transition alimentaire sur 6 jours
essayer d’effectuer plus d’activité afin de le faire maigrir
efffectuer un suivi de l’animal pour voir l’évolution du poids et si la proportion de croquettes fonction.

essayer de rendre le repas quelque chose de social donc avec d’autre individu ou avec le propriétaire."
69e76e2636566621a8d788b5,EX2,Mochi,0,5,cuisson;distribution_repas;enrichissement_environnement;preparation_recette;transition_alimentaire,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,"La recette est à suivre avec les indication suivantes:

Cuire à l’eau le riz et le poulet ( pour le riz cuire 2 fois plus longtemps que pour nous)
Faire une transition alimentaire sur 6 jours
Séparer les repas en plusieurs repas par jour (2 voir 3)
Utiliser des objets permettant de cacher la nourriture pour le chat cherche"
69e76e35aaba882197210806,EX1,Isopp,0,3,activite_physique;distribution_repas;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Transition alimentaire nécessaire (6jours)
Donner la ration en 3 fois dans la journée.
(Si possible, augmenter l'activité de l'animal)"
69e76e35aaba882197210806,EX2,Mochi,0,3,cuisson;distribution_repas;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Transition alimentaire à faire (2 semaines)
Conseil de cuisson : cuisson à l'eau du colin et du riz (temps deux fois plus long que pour l'humain pour le riz)
Lui donner la ration tout au long de la journée et non en une seule fois."
69e76e3f856a68218958d884,EX1,Isopp,0,5,activite_physique;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"- Transition alimentaire en 6 jours
- Suivi du poids
- Séparation de la ration en 2 repas par jour
- Utilisation d'une gamelle anti-glouton
- Reprise de l'exercice physique"
69e76e3f856a68218958d884,EX2,Mochi,0,6,complementation_cmv;cuisson;distribution_repas;ordre_ingredients;suivi_poids_et_clinique;transition_alimentaire,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,"- Transition alimentaire en 6 jours
- Suivi du poids
- Cuisson à la vapeur du poisson, du riz et des haricots
- Ajout de l'huile et du Vit'i5 après cuisson
- Répartir la ration en plusieurs repas à donner au long de la journée
- Utiliser des gamelles ludiques si besoin"
69e76e3faaba882197210823,EX1,Isopp,0,1,distribution_repas;justification_clinique;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,"Réaliser une transition alimentaire avec la ration actuelle, diviser la ration en plusieurs repas sur la journée, faire un suivi du poids toutes les deux semaines pour permettre d'ajuster la ration, utiliser des gamelles anti-gloutons ou d'autres récipients ludiques pour environ 30% de la ration"
69e76e3faaba882197210823,EX2,Mochi,0,1,cuisson;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,"Conseils : Cuire le poulet à l'eau ou à la vapeur et le riz à l'eau (deux fois plus de temps que pour un humain); diviser le repas en plusieurs prises, effectuer une transition alimentaire, faire un suivi du poids toutes les deux semaines"
69e76e48aaba882197210848,EX1,Isopp,0,3,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Transition alimentaire pour le changement de ration sur 6j.
Diviser les repas 
Faire un suivi de l’animal et de son poids (toutes les deux semaines)"
69e76e48aaba882197210848,EX2,Mochi,0,3,cuisson;distribution_repas;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Cuire tous les aliments à l’eau (Riz deux fois plus longtemps que pour l’homme) 
Transition alimentaire sur 6j 
Diviser les repas"
69e76e5faaba8821972108ad,EX1,Isopp,0,3,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Faire une transition alimentaire pendant 6j
Diviser la portion en plusieurs repas à distribuer dans la journée
Suivre l'évolution du poids"
69e76e5faaba8821972108ad,EX2,Mochi,0,4,cuisson;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,"Conseils de cuisson: cuire le riz à l'eau deux fois plus longtemps que pour une cuisson déstinée à l'humain. Cuire le poulet et les haricots dans de l'eau
Diviser la ration en plusieurs portions à distribuer dans la journée
Faire une transition alimentaire en 6 jours
Suivre l'évolution du poids"
69e76e63856a68218958d918,EX1,Isopp,0,3,activite_physique;distribution_repas;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Réaliser une transition alimentaire sur 3 semaines. 
Augmenter l'activité physique du chien : 2 à 3h de balade par jour. 
Séparer les repas en plusieurs petits repas."
69e76e63856a68218958d918,EX2,Mochi ,0,4,activite_physique;complementation_cmv;cuisson;ordre_ingredients,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"Cuire le riz à l'eau
Cuire les courgettes et le poulet à la vapeur 
Ajouter l'huile et le Vit'i5 après la cuisson 
Enrichir l'environnement avec des jeux, mettre la nourriture dans des jeux."
69e76e6436566621a8d78989,EX1,Isopp,0,2,suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Suivi du poids toutes les 2 semaines 
Transition alimentaire en 6 jours"
69e76e6436566621a8d78989,EX2,Mochi,0,2,suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Transition alimentaire 
suivi du poids toutes les 2 semaines"
69e76ea1856a68218958da19,EX1,Isopp,0,5,distribution_repas;enrichissement_environnement;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"Pour passer à cette nouvelle ration, il faut :
- réaliser une transition alimentaire sur 6 jours
- distribuer le repas en 2 à 3 fois par jour
- cacher les croquettes dans une gamelle anti-glouton
- réaliser un suivi du poids toutes les 2 semaines"
69e76ea1856a68218958da19,EX2,Mochi,0,6,complementation_cmv;cuisson;distribution_repas;ordre_ingredients;suivi_poids_et_clinique;transition_alimentaire,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,"Pour passer à cette nouvelle ration, il faut :
- réaliser une transition alimentaire sur 6 jours
- bien cuire la viande et le riz (cuisson vappeur de préférence, cuire le riz deux fois plus longtemps que la viande) ainsi que les haricots, ajouter l'huile et le vit'i5 après cuisson
- distribuer le repas entre 25 et 30 °C
- répartir le repas en plusieurs fois sur la journée
- faire un suivi du poids toutes les 2 semaines"
69e76ee436566621a8d78bd6,EX1,Isopp,0,5,activite_physique;distribution_repas;objectif_poids;preparation_recette;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,"- transition alimentaire progressive (6 jours)
- fractionner les repas au cours de la journée
- favoriser la prise alimentaire ludique (gamelle anti glouton, jeux ...)
- ajouter des fibres (courgettes, haricots verts pour remplir l'estomac sans augmenter l'énergie apportée)
- suivi régulier du poids de l'animal : lors du plan perte de poids, l'animal doit perdre 5-10 % de son poids initial par semaine au maximum et si il ne perd pas, il faut réduire de nouveau l'apport"
69e76ee436566621a8d78bd6,EX2,Mochi,0,6,complementation_cmv;cuisson;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,"- transition alimentaire progressive (6 jours)
- fractionner les repas
- bien cuire le riz à l'eau et le double du temps indiqué sur le paquet 
- cuire le poisson et les courgettes à l'eau
- ajouter l'huile et le complément minéralo-vitaminé après la cuisson 
- réaliser un suivi du poids après la mise en place de la nouvelle ration"
69e76ef836566621a8d78c46,EX1,Isopp,0,4,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Conseils : 
- effectuer une transition alimentaire (1 semaine)
- faire un suivi du poids de l’animal toutes les 2 semaines 
- utiliser une gamelle anti-glouton pour allonger le temps de prise de repas"
69e76ef836566621a8d78c46,EX2,Mochi,0,7,cuisson;distribution_repas;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Conseils : 
- effectuer une transition alimentaire (1 semaine)
- cuire le poulet à la vapeur à cœur 
- cuire le riz à l’eau 2 fois plus longtemps ou en mode sushi dans un cuiseur à riz 
- servir la ration tiède 
- ne rajouter le Vit’i5 qu’après avoir chauffer les aliments 
- diviser la ration dans la journée"
69e76ef836566621a8d78c48,EX1,ISOPP,0,3,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Suivi clinique toutes les deux semaines.
Diviser la ration en au moins deux repas.
Transition alimentaire pendant 6 jours."
69e76ef836566621a8d78c48,EX2,Mochi,0,4,activite_physique;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Suivi clinique toutes les deux semaines.
Transition alimentaire. 
Diviser les repas. 
Proposer des jeux pour l'alimentation."
69e76efa36566621a8d78c55,EX1,Isopp,0,3,distribution_repas;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Transition alimentaire sur 6 jours
Diviser les repas en 2/3 fois par jours
suivit du poids toutes les 1/2 semaines"
69e76efa36566621a8d78c55,EX2,Mochi,0,4,cuisson;distribution_repas;suivi_poids_et_clinique,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,"cuisson à l'eau pour le riz et le colin ( riz: cuire deux fois plus longtemps que pour humain)
séparer la ration en plusieurs repas par jours
transtion alimentaire possible
vérifier que le poids de l'aniaml ne varie pas"
69e76efc36566621a8d78c85,EX1,Isopp,0,4,distribution_repas;hydratation_eau;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,"-Eau à volonté
-Transition alimentaire sur 7j
-Suivi du poids très régulié et rendez-vous à la clinique dans 15j puis dans 1 mois
-Distribuer la ration en deux voire trois fois suivant les possibilités"
69e76efc36566621a8d78c85,EX2,Mochi,0,7,complementation_cmv;cuisson;distribution_repas;hydratation_eau;transition_alimentaire,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,"- Eau à volonté
- Bien cuire le riz (doubler le temps de cuisson pour humain)
- Cuire le poulet à la vapeur
- Suivre du poids très régulièrement et visite de contrôle dbs 1 mois
- transition alimentaire sur 6j
- ajouter l'huile de colza et le vit'i 5 orange directement dans la gamelle sans cuisson
- distribuer la ration en deux fois"
69e76efd36566621a8d78c97,EX1,Isopp,0,3,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Faire une transition alimentaire sur 6 jours

Diviser la nouvelle ration en plusieurs repas à donner au fil de la journée + mettre des gamelles ludiques

Faire un suivi du poids toutes les semaines"
69e76efd36566621a8d78c97,EX2,Mochi,0,4,cuisson;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,"Faire une transition alimentaire sur 6jours avec sa ration actuelle

Faire bien cuire et à l'eau le colin et le riz blanc (faire cuire 2 fois plus longtemps le riz que pour les humains)

Donner le repas en plusieurs fois dans la journée.

Faire un suivi du poids pour vérifier que la ration lui convient (si besoin on ajustera le K)"
69e76f00856a68218958dc27,EX1,Isopp,0,3,distribution_repas;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Ajouter une gamelle anti-glouton. 
Faire visite de contrôle du poids chez le vétérinaire dans le mois après le début du changement d'alimentation.
Réaliser une transition alimentaire sur 5 jours, en remplaçant chaque jour 20% supplémentaires de l'ancienne ration par la nouvelle."
69e76f00856a68218958dc27,EX2,Mochi,0,3,cuisson;suivi_poids_et_clinique;transition_alimentaire,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"Peser les aliments crus. 
Opter pour un mode de cuisson vapeur. Idéalement àl'aide d'un cuiseur à riz. 
Faire une visite de contrôle dans 4 semaines pour vérifier le poids de Mochi et discuter de sa nouvelle ration."
69e76f0caaba882197210c3f,EX1,Isopp,1,2,preparation_recette;satiete_appetit;transition_alimentaire,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"Il faut changer l'alimentation progressivement sur une semaine.

Ne pas hésiter à humidifier les croquettes pour couper la satiété si besoin."
69e76f0caaba882197210c3f,EX2,Mochi,0,1,cuisson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Bien faire cuire les aliments à la vapeur (surtout le riz, plus qu'on ne le ferait pour un humain)."
69e76f1a36566621a8d78d8f,EX1,Isopp,0,6,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Transition alimentaire 75% ancienne ration/ 25 % nouvelle ration pendant 3 jours
50% ancienne ration / 50% nouvelle ration pendant 3 jours
25 % ancienne ration / 75 % nouvelle ration pendant 3 jours
puis 100 % nouvelle ration.

Suivi régulier du poids, environ toutes les 2 semaines.

Si besoin diviser la ration en 3 repas dans la journée."
69e76f1a36566621a8d78d8f,EX2,Mochi,0,4,complementation_cmv;cuisson;justification_clinique;morceaux_decoupe,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"Conseil cuisson : le poisson et le riz doivent être cuits à l'eau.
Le riz doit être cuit 2x plus de temps qu'en humaine car cela favorise la digestibilité de l'amidon.
L' huile et le vit'i5 doivent être ajoutés à la fin de la préparation pour ne pas les endommager.

Découper la ration en 2 voir 3 repas."
69e76f2b36566621a8d78dde,EX1,Isopp,0,6,distribution_repas;enrichissement_environnement;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"Ration actuelle trop pauvre en protéines, expliquant la faim constante d'Isopp, et trop grosse couverture énergétique.
Nouvelle ration proposée de la gamme Royal Canin, plus riche en protéines et couverture énergétique plus adaptée
Diviser la ration en plusieurs repas par jour, idéalement 2 ou 3 repas.
Proposer la ration avec des enrichissements comme des tapis de fouille ou gamelle anti-glouton par exemple
Faire une transition alimentaire sur 6 jours
Faire un suivi du poids afin de voir si la nouvelle ration convient à Isopp"
69e76f2b36566621a8d78dde,EX2,Mochi,0,5,complementation_cmv;cuisson;suivi_poids_et_clinique;transition_alimentaire,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,"Ration ménagère proposée contenant une source de protéines, une source de fibres, une source d'énergie, une source d'acides gras essentiels et un complément minéralo-vitaminé
Cuisson à l'eau pour le poisson et le riz (2 fois plus longtemps que pour les humains)
Légumes cuits à la vapeur
Faire une transition alimentaire
Faire un suivi du poids toutes les 2 semaines pour voir si cela convient à Mochi"
69e76f2f36566621a8d78df2,EX1,Isopp,0,6,activite_physique;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"- Prévoir une transition alimentaire sur 6 jours
- Répartir la distribution de la ration au cours de la journée
- Utiliser une gamelle anti-glouton
- Donner l'alimentation sous forme de jeux
- Surveiller le poids toutes les deux semaines + consultations de suivi
- (Augmenter l'activité physique pour plus de dépense énergétique)"
69e76f2f36566621a8d78df2,EX2,Mochi,0,5,activite_physique;cuisson;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,"- Prévoir une transition alimentaire sur 6 jours
- Cuire le colin et le riz à l'eau (pour le riz cuire 2 fois plus longtemps que pour l'homme)
- Répartir l'alimentation en plusieurs prises alimentaires dans la journée
- Donner l'alimentation sous forme de jeux
- Suivre le poids de Mochi toutes les 2 semaines + suivi vétérinaire en consultation"
69e76f40aaba882197210d42,EX1,Isopp,0,4,activite_physique;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"- La ration actuelle présente un déficit protéique, pouvant être lié au fait qu'Isopp ait constamment faim.
- Il faut effectuer une transition alimentaire avec la nouvelle ration sur 6 jours.
- Rajouter de l'exercice progressivement à Isopp
- Il faut également faire un suivi vétérinaire avec notamment un suivi de l'évolution du poids, afin de pouvoir réadapter la ration si nécessaire."
69e76f40aaba882197210d42,EX2,Mochi,0,3,cuisson;suivi_poids_et_clinique;transition_alimentaire,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"- Faire une transition alimentaire sur 6 jours
- Bien cuire le colin, le riz et les haricots, à l'eau, sans ajouter quoi que ce soit.
- Faire un suivi régulier du poids de Mochi"
69e76f4daaba882197210d90,EX1,Isopp,0,5,activite_physique;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Nouvelle ration à integrer par transition alimentaire. 
Donner 250 grammes par jours séparés en 2 ou 3 repas.
Possibité d'utiliser une gamelle anti-glouton.
Augmenter si possible l'activité sportive.
Suivit de poid obligatoire chaque semaine, prendre rendez-vous avec le vétérinaire prochainement."
69e76f58aaba882197210db5,EX1,Isopp,0,3,objectif_poids;satiete_appetit;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,"Les croquettes Satiety Royal Canin sont plus riche en protéine ce qui permettra une meilleure satiété et aidera pour la perte de poids. 
Faire une transition alimentaire pendant 1 semaine 
Faire un suivi du poids régulier"
69e76f58aaba882197210db5,EX2,Mochi,0,2,cuisson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Pour une ration ménagère, veuillez à la cuisson du riz (plus longtemps que pour un adulte) et du colin qui doit être cuit à la vapeur
Faire un suivit du poids et ajuster les quantités si besoin"
69e76f5d36566621a8d78ec5,EX1,Isopp,0,7,activite_physique;distribution_repas;objectif_poids;transition_alimentaire,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"Avec la ration actuelle, on observe une couverture trop grande du besoin énergétique et en même temps une ration un peu faible en protéines. On va chercher un aliment avec une densité énergétique plus faible pour calmer sa faim, et possiblement un peu plus riche en protéines. 

On pourrait partir sur une ration journalière de 325 g/j de Royal Canin Satiety, qui aurait une densité énergétique plus faible donc plus adaptée à sa faim tout en apportant une meilleur couverture pour les protéines (d'autres aliments sont toutefois envisageables mais moins idéal pour ces protéines justement, et on reste ici sur la même marque de croquettes). 

On pourrait éventuellement baisser un peu cette quantité pour diminuer l'énergie apportée mais proposer une ration comblant sa faim et avec un apport en énergie adapté est déjà un bon début. 

Pour la transition alimentaire il est recommandé de la faire sous 6 jours en mélangeant avec ses anciennes croquettes. Le faire manger en compagnie d'autres chiens permettrait également d'augmenter l'appétence pour cette nouvelle ration. 

Enfin, et ce d'autant plus si il a déjà tendance à avoir faim, proposer la ration dans divers jeux pour augmenter la difficulté d'accès à la nourriture et ainsi qu'il mange plus lentement serait une bonne idée."
